Country,New South Wales,Victoria,Queensland,Western Australia,South Australia,Tasmania,Australian Capital Territory,Northern Territory
United Kingdom,250700,192700,200400,213900,103700,20500,13300,6700
New Zealand,127900,102700,219900,87400,13800,5400,5000,5600
China,256100,176600,51600,30000,26800,3300,11900,1400
India,153800,182800,53100,53400,29000,2100,10900,4200
Philippines,94100,56000,43100,33400,13300,1800,4000,7000
Vietnam,92900,89900,21800,17600,15700,500,3600,1200
Italy,56000,79100,14800,22000,20200,1000,2100,600
South Africa,47700,30300,44700,45600,7200,1700,2200,1100
Malaysia,34900,55300,16400,32300,8400,1600,2600,800
Scotland,33100,30300,25200,30400,13300,2600,2000,900
Sri Lanka,32600,63200,11100,8900,4200,400,3100,1000
Germany,33700,30000,23100,12800,11200,2400,2500,1200
Greece,36000,57000,4000,2800,10200,600,1200,1800
South Korea,58000,16900,21000,7900,4100,700,2500,500
United States of America,36900,24300,20900,11500,5200,2000,3300,1700
Hong Kong,47300,24400,12200,7000,4000,500,1800,400
Lebanon,68400,19900,1700,1300,1800,100,500,100
Ireland,28200,18200,13300,21600,3700,800,900,1400
Indonesia,34100,19300,7900,12500,2300,400,1400,1300
Netherlands,18900,22200,15800,10400,7200,2500,1100,500
